date,open,close,low,high,volume
2017-01-01 00:00:00,966.34,965.55,964.6,966.58,22.79787911
2017-01-01 00:15:00,965.59,965.24,964.87,966.57,28.32430782
2017-01-01 00:30:00,965.24,966.38,965.24,966.4,16.09274606
2017-01-01 00:45:00,966.38,966.6,965.94,966.99,35.26987273
2017-01-01 01:00:00,966.6,962.54,962.54,966.6,129.41775279
2017-01-01 01:15:00,962.54,962.88,962.54,965.02,1.32997138
2017-01-01 01:30:00,962.88,963.07,962.88,964.15,12.785525759999999
2017-01-01 01:45:00,963.07,963.87,963.07,964.19,5.492304
2017-01-01 02:00:00,964.35,963.62,963.62,964.9,14.24944562
2017-01-01 02:15:00,963.62,965.07,963.62,965.07,25.63328933
2017-01-01 02:30:00,965.74,961.99,961.99,965.75,40.57281747
2017-01-01 02:45:00,961.99,963.97,961.99,964.24,13.811843479999999
2017-01-01 03:00:00,963.97,963.81,963.28,964.63,4.93935488
2017-01-01 03:15:00,963.82,963.99,963.81,964.0,2.07320724
2017-01-01 03:30:00,964.0,964.0,963.99,964.0,9.544
2017-01-01 03:45:00,964.0,962.83,960.53,964.71,61.06310537
2017-01-01 04:00:00,960.61,963.15,960.6,963.15,28.78624555
2017-01-01 04:15:00,963.15,962.5,962.5,963.64,11.834051579999999
2017-01-01 04:30:00,962.5,963.45,962.5,963.45,6.02892314
2017-01-01 04:45:00,963.45,963.46,962.52,963.46,0.161
2017-01-01 05:00:00,963.46,963.0,963.0,963.46,0.10760171
2017-01-01 05:15:00,963.0,962.81,962.81,963.0,20.2
2017-01-01 05:30:00,962.81,964.0,962.8,964.0,33.06756202
2017-01-01 05:45:00,964.0,964.0,964.0,964.0,0.15109466000000002
2017-01-01 06:00:00,963.74,964.0,963.74,964.0,0.18
2017-01-01 06:15:00,964.0,964.0,964.0,964.0,0.03
2017-01-01 06:30:00,964.0,964.99,963.77,964.99,25.21978439
2017-01-01 06:45:00,964.99,964.76,964.76,964.99,1.055
2017-01-01 07:00:00,964.76,964.98,964.76,964.98,0.21299825
2017-01-01 07:15:00,964.98,964.98,964.98,964.98,0.0
2017-01-01 07:30:00,964.98,964.96,964.96,964.98,0.12702144
2017-01-01 07:45:00,964.96,964.96,964.96,964.98,6.0142336400000005
2017-01-01 08:00:00,964.96,964.96,964.96,964.98,18.613500000000002
2017-01-01 08:15:00,964.96,964.98,964.96,964.99,6.87677184
2017-01-01 08:30:00,964.96,964.98,964.96,964.99,3.39352864
2017-01-01 08:45:00,964.98,964.98,964.98,964.99,2.09940394
2017-01-01 09:00:00,964.98,964.99,964.98,964.99,18.64804306
2017-01-01 09:15:00,964.99,965.0,964.99,965.0,12.15611488
2017-01-01 09:30:00,965.0,964.99,964.99,965.0,6.54896692
2017-01-01 09:45:00,964.99,965.6,964.99,965.62,11.84451444
2017-01-01 10:00:00,965.6,968.22,965.01,968.22,137.08701682
2017-01-01 10:15:00,968.86,968.27,968.27,968.96,31.19695796
2017-01-01 10:30:00,968.74,970.92,968.27,970.92,75.37285875
2017-01-01 10:45:00,970.92,973.98,970.92,974.77,101.27374333
2017-01-01 11:00:00,973.98,975.0,970.72,975.0,83.6561057
2017-01-01 11:15:00,974.99,975.0,974.09,975.0,102.15559355
2017-01-01 11:30:00,974.99,974.99,974.09,975.0,44.681898170000004
2017-01-01 11:45:00,974.99,974.92,974.1,975.0,132.20451718
2017-01-01 12:00:00,975.0,975.67,974.92,975.67,110.87521514000001
2017-01-01 12:15:00,975.67,975.62,974.28,975.8,49.07238585
2017-01-01 12:30:00,975.62,972.98,972.89,975.7,31.545798880000003
2017-01-01 12:45:00,972.68,972.5,972.5,973.38,21.45925984
2017-01-01 13:00:00,972.51,972.68,972.5,973.48,18.56910071
2017-01-01 13:15:00,972.68,973.4,972.68,973.4,0.63850658
2017-01-01 13:30:00,973.4,973.49,973.07,973.63,17.29183544
2017-01-01 13:45:00,973.63,974.09,973.63,974.09,4.95707006
2017-01-01 14:00:00,974.1,974.39,974.07,974.53,3.62883725
2017-01-01 14:15:00,974.39,973.95,973.95,974.9,23.16417045
2017-01-01 14:30:00,973.95,974.07,973.2,974.93,18.08844281
