date,open,close,low,high,volume
2017-01-01,966.34,997.75,960.53,1005.0,6850.59330862
2017-01-02,997.75,1012.54,990.01,1032.0,8167.38103035
2017-01-03,1011.44,1035.24,999.99,1039.0,9089.65802525
2017-01-04,1035.51,1114.92,1028.56,1139.89,21562.45697193
2017-01-05,1114.38,1004.74,885.41,1136.72,36018.861119940004
2017-01-06,1004.73,893.89,871.0,1026.99,27916.70309896
2017-01-07,894.02,906.2,812.28,907.05,20401.11359129
2017-01-08,906.2,909.75,881.3,941.81,8937.49270794
2017-01-09,909.8,896.23,875.0,912.87,8716.18294092
2017-01-10,896.09,905.05,889.41,912.47,8535.52168788
2017-01-11,905.24,778.62,755.0,918.4,35893.76836831
2017-01-12,778.7,807.47,751.34,832.99,17400.14155469
2017-01-13,807.51,825.86,775.0,831.4,11409.52032999
2017-01-14,825.98,818.27,810.0,837.76,6614.71899169
2017-01-15,819.52,821.86,808.0,823.45,4231.46390349
2017-01-16,821.86,831.81,818.09,835.0,6166.04397737
2017-01-17,831.76,905.99,827.0,908.5,12264.16938474
2017-01-18,905.95,887.7,851.74,915.99,11181.89887873
2017-01-19,887.69,901.01,878.89,910.0,11094.60329763
2017-01-20,902.23,895.8,880.0,902.43,6618.62776423
2017-01-21,895.81,921.98,895.0,928.0,5865.63203055
2017-01-22,921.98,923.76,886.76,937.74,7166.66547892
2017-01-23,923.75,913.52,913.21,927.57,3514.74142946
2017-01-24,913.15,885.47,881.48,923.0,9405.04656525
2017-01-25,885.47,893.43,884.5,904.01,5291.55474211
2017-01-26,893.25,914.83,892.86,919.49,5164.89701987
2017-01-27,914.95,918.02,908.01,924.88,4830.53516229
2017-01-28,918.02,918.6,913.08,920.99,1175.86352983
2017-01-29,918.6,912.01,910.45,919.99,1349.01480035
2017-01-30,913.12,919.99,910.0,923.0,3121.18754441
2017-01-31,919.99,963.99,917.5,970.0,9507.10183224
2017-02-01,963.99,983.67,962.0,986.96,6954.39947159
2017-02-02,983.79,1009.17,973.12,1011.65,8269.68053657
2017-02-03,1009.15,1016.99,987.01,1022.64,10928.02422145
2017-02-04,1015.06,1033.18,1004.0,1044.23,5752.28733969
2017-02-05,1033.72,1011.07,1004.7,1034.6,4348.17045022
2017-02-06,1010.03,1023.99,1005.1,1031.94,5080.84835464
2017-02-07,1024.0,1052.48,1021.3,1056.25,5372.1326253
2017-02-08,1052.48,1050.4,1025.0,1070.0,9633.2646519
2017-02-09,1051.73,986.0,913.73,1074.69,25150.07016342
2017-02-10,985.71,996.08,950.0,1010.68,10731.29006906
2017-02-11,995.49,1012.4,987.62,1020.0,4470.41861673
2017-02-12,1011.01,1000.73,991.98,1011.97,2683.9973582
2017-02-13,1000.73,1000.79,975.1,1007.89,4547.2603685
2017-02-14,1000.74,1008.88,987.97,1019.0,6761.10806309
2017-02-15,1008.88,1011.53,1000.97,1013.8,3095.66000003
2017-02-16,1011.53,1032.7,1010.75,1043.21,5996.10412986
2017-02-17,1032.91,1055.46,1031.98,1064.99,6085.0226061
2017-02-18,1055.75,1056.4,1046.14,1068.99,4474.9493063400005
2017-02-19,1056.4,1051.8,1039.07,1061.9,2270.8499116
