date,open,close,low,high,volume
2017-01-01,966.34,997.75,960.53,1005.0,6850.59330862
2017-01-08,997.75,909.75,812.28,1139.89,132093.66654566
2017-01-15,909.8,821.86,751.34,918.4,92801.31777697
2017-01-22,821.86,923.76,818.09,937.74,60357.64081217
2017-01-29,923.75,912.01,881.48,927.57,30731.65324916
2017-02-05,913.12,1011.07,910.0,1044.23,48880.85139617
2017-02-12,1010.03,1000.73,913.73,1074.69,63122.02183925
2017-02-19,1000.73,1051.8,975.1,1068.99,33230.95438552
2017-02-26,1051.8,1179.05,1044.39,1220.0,64859.33009885
2017-03-05,1180.46,1273.0,1169.0,1298.0,41501.77264946
2017-03-12,1269.98,1226.62,975.0,1350.0,86362.50150071
2017-03-19,1226.42,1017.97,944.36,1260.0,80758.95139713
2017-03-26,1012.88,960.0,891.33,1117.9,77654.42833488
2017-04-02,959.08,1078.01,952.95,1100.0,60735.51410533
2017-04-09,1076.59,1206.2,1076.19,1216.87,46209.49616498
2017-04-16,1205.2,1162.31,1141.0,1229.0,31206.27597943
2017-04-23,1162.31,1241.99,1161.0,1252.32,32903.50600781
2017-04-30,1241.99,1350.21,1234.0,1356.0,39373.23591362
2017-05-07,1348.88,1554.01,1341.22,1623.01,79322.11280426
2017-05-14,1554.38,1784.0,1554.38,1892.0,94487.49595306
2017-05-21,1782.3,2017.55,1641.22,2063.11,92774.73283084
2017-05-28,2017.55,2178.81,1850.0,2760.1,155505.12996984
2017-06-04,2172.54,2530.27,2110.0,2584.34,92766.99531841
2017-06-11,2530.27,2954.22,2525.28,2967.46,93595.84620943
2017-06-18,2954.23,2516.98,2120.0,2980.0,148410.30172697
2017-06-25,2516.98,2502.03,2432.0,2789.0,84846.3560651
2017-07-02,2502.26,2504.37,2291.0,2594.78,87969.87562814
2017-07-09,2504.81,2502.28,2462.0,2639.47,59719.93716046
2017-07-16,2504.0,1917.63,1830.0,2527.88,114299.10964116
2017-07-23,1917.72,2749.02,1910.57,2938.0,144198.52207888
2017-07-30,2756.8,2742.37,2400.0,2825.0,95398.49286019
2017-08-06,2745.76,3222.75,2615.0,3339.66,71720.56631981
2017-08-13,3216.78,4053.87,3178.72,4190.0,91367.73067609999
2017-08-20,4053.87,4058.68,3800.0,4480.0,106015.99573986
2017-08-27,4058.64,4337.68,3600.0,4449.98,79305.31569955
2017-09-03,4329.91,4606.26,4169.01,4979.9,81722.33065246
2017-09-10,4603.68,4226.22,4001.93,4679.97,120234.1945574
2017-09-17,4226.21,3662.99,2972.01,4377.65,190649.20393433
2017-09-24,3662.95,3664.22,3514.0,4122.7,93690.79392573
2017-10-01,3667.01,4377.22,3658.39,4377.22,76596.22231951
2017-10-08,4369.33,4597.98,4137.96,4612.0,60774.40559887
2017-10-15,4597.97,5679.7,4541.0,5846.43,102154.07757095
2017-10-22,5683.92,5969.0,5101.36,6180.0,89752.60635221
2017-10-29,5967.38,6137.37,5366.0,6316.85,90679.73312345
2017-11-05,6133.01,7372.72,6024.03,7590.0,96898.05082775
2017-11-12,7373.3,5870.37,5555.55,7888.0,149308.51562404
2017-11-19,5870.03,8016.58,5846.0,8087.35,108765.55980954
2017-11-26,8016.58,9271.06,7770.0,9366.6,70679.21429016
2017-12-03,9278.99,11250.0,9000.0,11800.01,123566.89997791
2017-12-10,11250.0,14691.0,10850.0,16666.66,131617.91707209
2017-12-17,14690.99,18953.0,14677.19,19666.0,99156.70350511
2017-12-24,18953.0,14157.87,11159.93,19220.0,185507.95214976
2017-12-31,14107.87,13880.0,12050.0,16480.52,105655.47664146
